Age,Marital,Default,Balance,Housing Loan,Personal Loan,Current Campaign,Churn
46,Divorced,1,48062,0,1,1,0
32,Divorced,1,-1694,1,1,0,0
62,Married,1,86495,0,0,1,1
18,Married,0,67767,1,1,1,0
42,Single,1,10207,1,0,0,0
24,Divorced,0,37426,0,0,1,0
26,Married,1,4336,0,0,0,1
41,Divorced,1,73166,0,1,0,1
18,Divorced,0,15256,1,1,1,0
61,Single,1,97445,0,0,0,1
25,Single,1,47817,0,0,0,1
41,Divorced,0,31719,0,1,1,0
28,Divorced,1,40017,0,0,0,1
68,Divorced,0,43704,1,0,0,0
34,Divorced,0,28013,1,1,1,0
25,Single,0,77991,1,1,0,0
52,Married,0,68258,1,1,1,0
52,Single,1,76348,1,0,0,1
50,Married,1,93812,1,1,1,1
76,Divorced,1,34776,0,1,1,0
22,Married,0,8060,1,1,1,0
59,Single,1,76592,0,1,1,0
56,Single,1,4655,0,1,1,0
75,Divorced,1,86110,0,1,0,1
58,Single,1,47923,0,1,1,0
45,Divorced,0,76563,1,0,1,0
24,Single,0,2030,1,1,0,0
26,Single,1,87779,1,0,1,1
25,Divorced,0,31289,0,0,0,0
29,Married,1,17739,1,1,0,0
51,Single,1,97704,1,0,1,0
50,Married,1,59687,1,1,0,0
65,Single,0,34491,1,0,0,0
72,Single,1,93549,1,1,0,1
40,Single,0,70115,1,0,1,0
79,Single,0,81778,0,1,0,1
41,Married,1,2781,0,1,1,0
54,Married,0,18448,1,0,1,0
52,Single,0,49550,0,0,0,0
61,Single,1,47294,0,1,1,0
57,Married,0,19446,1,0,0,0
39,Divorced,0,74579,0,1,0,0
44,Divorced,1,83389,1,0,1,1
52,Married,1,83615,0,1,1,0
18,Single,0,15101,1,0,1,0
52,Single,1,64178,0,1,0,1
54,Divorced,1,26016,0,0,0,1
64,Divorced,0,16932,0,1,0,1
31,Married,0,42653,0,0,1,0
20,Divorced,1,88481,1,1,0,1
18,Married,0,50802,0,0,0,1
22,Divorced,1,5549,1,0,0,1
43,Divorced,1,76933,1,1,0,1
72,Divorced,0,23362,0,0,1,0
31,Single,0,45842,0,0,0,0
56,Single,1,44539,1,1,1,0
44,Single,1,31717,0,1,0,1
26,Divorced,1,52596,1,1,0,1
32,Married,1,21016,0,1,0,0
32,Married,0,53200,1,0,1,0
43,Married,1,78268,0,0,1,1
59,Married,0,58287,0,0,1,0
77,Single,0,90447,1,1,0,0
30,Single,1,81402,1,0,0,1
68,Divorced,0,40607,1,0,1,0
49,Divorced,0,25621,0,1,0,0
56,Married,1,10823,0,0,0,1
66,Single,0,27986,0,0,1,0
69,Married,0,62325,0,1,0,1
78,Divorced,1,55771,1,0,0,1
49,Divorced,1,52973,1,1,0,1
21,Married,1,12690,0,1,1,0
47,Divorced,1,37107,0,0,0,1
54,Married,1,55888,0,0,1,1
40,Single,1,8956,1,0,0,1
56,Married,1,84839,1,1,1,0
62,Single,0,54227,0,1,1,0
32,Single,0,34533,1,0,1,0
60,Divorced,1,93210,0,0,1,0
46,Divorced,0,54234,0,1,0,0
53,Divorced,0,99131,1,0,1,0
30,Married,1,65594,1,0,0,1
49,Married,0,54901,1,1,0,0
24,Divorced,1,9519,1,0,1,0
76,Married,0,29115,0,0,0,0
68,Divorced,1,64266,1,0,0,1
39,Married,0,-168,1,0,0,0
45,Single,0,39368,1,1,0,0
19,Single,0,86425,1,1,1,0
59,Divorced,1,67715,0,1,0,1
62,Married,0,69835,0,1,0,1
79,Married,0,71366,1,0,0,0
74,Single,1,35570,1,0,0,1
70,Single,1,85977,0,0,0,1
23,Divorced,0,4615,0,0,1,0
45,Single,0,70298,1,1,0,0
45,Divorced,0,36311,0,0,1,0
61,Single,0,88245,0,0,0,1
61,Single,1,21434,0,1,1,0
37,Married,0,84879,0,1,0,1
47,Single,0,13739,1,1,0,0
79,Single,1,64202,0,0,1,0
28,Divorced,0,96580,0,1,1,1
75,Single,0,91419,1,0,1,0
72,Divorced,0,77599,1,0,0,1
45,Single,1,31649,1,1,1,0
42,Single,1,98364,0,1,1,1
56,Divorced,0,45445,1,1,1,0
79,Married,0,37470,0,0,0,0
50,Divorced,1,72965,1,0,0,1
18,Divorced,0,46621,0,0,0,1
74,Divorced,0,30926,1,1,1,0
44,Married,1,35997,1,0,0,0
79,Single,1,57940,0,0,0,1
74,Divorced,1,38724,1,0,0,0
69,Divorced,0,95805,1,0,0,1
30,Married,0,29704,1,1,1,0
58,Divorced,0,26391,1,0,0,0
20,Single,0,61291,1,1,1,0
56,Married,1,87723,0,1,1,0
23,Single,0,526,0,0,1,0
25,Single,0,22686,1,0,1,0
44,Married,1,71339,1,1,1,0
26,Divorced,1,96204,0,0,1,0
79,Single,0,4574,0,1,0,0
54,Single,1,6733,1,0,1,0
50,Single,1,48290,0,0,0,1
68,Single,0,70793,1,1,1,0
59,Married,0,34051,1,0,0,1
61,Married,0,13909,1,1,1,0
41,Single,0,87682,1,1,0,0
32,Divorced,1,75338,0,0,0,1
76,Single,1,71432,0,1,1,0
71,Divorced,0,26133,0,0,1,0
49,Single,0,49571,1,0,1,0
49,Divorced,1,77062,0,0,1,0
41,Single,0,48908,1,1,0,1
58,Divorced,0,9278,1,0,0,1
69,Single,0,49458,0,0,1,0
66,Single,0,62265,1,1,1,0
79,Divorced,1,54782,1,1,0,1
66,Married,0,53415,1,1,1,0
75,Divorced,1,89087,0,1,0,1
69,Married,0,52160,1,0,1,0
29,Single,0,52399,0,0,1,0
79,Divorced,1,23298,1,0,0,0
56,Divorced,0,98874,0,0,0,1
19,Divorced,1,20191,1,1,1,0
20,Married,0,54964,0,1,0,1
66,Married,0,31092,0,0,1,0
54,Single,0,87407,1,1,0,0
66,Married,0,73257,1,1,1,0
73,Married,0,60513,1,1,1,0
34,Single,1,49097,1,1,1,0
76,Divorced,1,28279,0,1,0,1
66,Divorced,0,12404,1,0,0,0
19,Single,0,68022,0,0,0,1
19,Divorced,1,33198,1,1,0,1
45,Married,1,92223,0,1,1,0
71,Single,0,47997,0,0,0,1
40,Single,0,76692,0,0,0,0
54,Single,1,-1433,1,1,0,0
49,Divorced,0,59032,1,1,1,0
50,Single,1,179,0,1,0,1
18,Single,0,19,0,0,0,0
36,Single,1,79455,0,1,1,0
79,Divorced,1,83239,0,1,1,0
19,Married,0,16704,0,1,1,0
70,Single,1,16030,1,1,1,0
61,Married,0,67445,0,1,1,0
43,Divorced,0,71551,1,1,1,0
49,Divorced,0,1420,1,1,1,0
23,Divorced,0,57875,1,1,0,0
49,Divorced,1,45653,0,0,1,0
72,Married,0,14740,0,0,1,0
21,Single,0,63263,0,0,1,0
72,Divorced,0,93864,0,1,1,0
28,Divorced,0,62559,1,0,1,0
73,Married,1,17465,1,0,0,0
76,Married,0,49432,1,0,0,1
34,Divorced,1,2131,0,0,0,1
55,Single,1,8652,0,0,0,1
41,Single,1,62973,0,1,0,0
22,Divorced,0,85043,0,0,0,1
69,Married,0,45147,0,1,0,1
51,Divorced,0,45671,0,1,1,0
23,Divorced,0,87342,1,0,1,0
39,Married,1,17171,1,1,1,0
28,Divorced,1,84129,0,0,1,1
65,Divorced,0,53692,1,1,1,0
33,Divorced,0,56541,1,1,1,0
50,Married,0,7470,1,0,0,1
26,Single,0,59344,1,1,1,0
77,Single,0,42308,0,1,1,0
76,Married,0,48639,1,1,1,0
23,Single,0,19326,0,1,0,0
33,Divorced,1,2597,0,1,0,0
46,Single,1,28788,1,1,0,0
20,Divorced,1,63020,0,1,1,0
37,Single,1,47477,1,1,1,0
77,Married,0,31071,0,0,1,0
76,Single,0,68603,0,1,0,0
53,Single,0,59923,1,0,0,0
36,Single,0,68560,1,0,1,0
43,Married,0,71251,0,1,0,0
20,Single,1,55492,1,1,1,0
36,Married,0,29770,0,0,0,1
37,Divorced,1,74762,1,0,0,1
49,Single,0,33399,0,0,0,0
24,Married,1,76948,0,1,1,0
69,Married,0,55439,0,1,0,0
58,Single,1,42415,0,1,1,0
50,Divorced,0,10569,0,0,1,0
57,Married,0,369,1,1,1,0
56,Single,0,95557,0,1,0,1
35,Divorced,0,-1472,1,1,0,1
57,Married,1,28314,1,1,0,1
18,Married,0,16047,0,0,1,0
28,Divorced,1,17748,0,1,0,1
45,Divorced,0,33109,1,1,0,1
74,Single,1,11919,0,0,1,0
42,Single,0,45498,0,1,1,0
67,Married,0,53808,1,0,1,0
40,Divorced,1,78792,1,0,0,1
48,Divorced,0,68441,1,1,0,1
47,Divorced,0,72420,1,0,1,0
59,Married,1,26906,1,1,0,1
52,Divorced,0,69486,1,0,1,0
24,Divorced,1,64896,0,0,0,1
77,Married,0,19946,1,1,1,0
33,Single,1,45020,1,0,0,0
43,Single,1,72266,0,1,1,0
65,Married,1,20161,0,1,1,0
74,Divorced,1,25738,0,1,1,0
69,Married,0,1925,0,1,0,1
77,Single,0,6463,0,0,0,0
66,Single,1,55153,0,1,0,1
19,Married,0,80948,1,0,1,0
18,Married,0,59009,0,1,1,0
65,Single,0,85938,0,0,1,0
79,Married,1,97546,0,0,1,1
29,Single,0,89253,0,0,1,0
22,Married,0,39552,1,0,1,0
54,Married,1,54271,0,1,1,0
49,Married,0,7797,0,1,1,0
76,Single,1,84130,1,0,1,0
72,Married,1,69942,1,0,0,1
26,Single,1,11965,1,1,1,0
58,Single,0,11733,0,0,0,0
52,Married,0,51223,1,0,1,0
36,Married,1,24926,1,1,0,0
65,Single,1,26783,1,0,1,0
33,Single,1,81360,0,0,0,1
20,Divorced,1,34394,0,1,1,0
37,Single,1,62796,1,0,1,1
41,Divorced,1,26287,0,1,1,0
71,Divorced,0,80104,0,1,0,1
73,Divorced,1,28436,0,1,1,0
50,Married,1,84916,0,1,0,1
41,Married,1,88332,0,0,0,1
69,Single,0,71567,1,1,0,1
28,Divorced,0,85483,1,1,0,1
66,Married,0,1188,1,0,0,0
25,Married,0,89205,1,1,1,0
53,Married,1,99249,0,0,0,1
55,Married,0,95349,1,1,0,1
57,Married,1,4765,1,1,0,1
37,Divorced,1,49626,0,1,0,1
79,Divorced,1,86707,0,1,1,1
52,Divorced,1,8807,0,0,1,0
65,Divorced,1,8204,0,0,1,0
79,Single,1,90602,1,0,0,1
42,Divorced,0,55944,0,1,0,1
52,Married,0,40120,0,1,0,0
42,Divorced,0,20658,0,1,1,0
46,Single,0,35081,0,0,0,0
35,Married,0,32986,0,1,1,0
63,Divorced,1,77322,0,0,0,1
35,Divorced,0,92819,1,0,0,1
19,Divorced,0,48304,1,0,1,0
71,Married,0,63592,1,1,0,1
52,Married,1,56548,0,1,1,0
33,Single,1,96447,0,1,0,1
78,Married,1,37986,1,1,1,0
58,Married,0,72095,1,0,0,1
53,Divorced,0,89594,1,0,0,1
50,Married,0,86281,1,1,0,0
21,Divorced,0,64151,0,1,0,1
50,Divorced,0,71598,1,1,0,1
31,Married,1,26214,0,0,1,0
38,Single,0,36745,0,1,1,0
65,Single,1,40548,0,0,0,1
37,Married,0,8681,1,0,1,0
73,Single,1,4984,1,0,1,0
25,Divorced,1,25579,1,0,1,0
24,Divorced,1,88810,0,0,1,1
20,Married,1,52933,0,0,0,1
34,Single,0,25399,1,0,1,0
50,Single,0,29481,0,1,1,0
65,Divorced,0,-1056,1,1,0,0
29,Married,1,91993,0,1,0,1
76,Single,0,7114,0,0,0,0
68,Married,0,37846,0,0,0,1
39,Single,0,81666,0,1,0,1
72,Divorced,0,75848,0,0,0,1
39,Divorced,1,30596,0,0,0,1
63,Married,1,73287,0,0,0,1
47,Divorced,0,4907,1,0,1,0
55,Single,0,26114,0,0,0,1
55,Divorced,0,23009,0,0,1,0
62,Married,1,82846,1,0,0,1
68,Married,1,48241,1,0,0,1
71,Married,1,33725,1,0,1,0
25,Single,0,16996,1,0,0,0
44,Single,1,4047,0,0,0,1
44,Single,1,26767,0,0,1,0
51,Single,1,14347,1,1,1,0
38,Single,1,22102,0,0,1,0
47,Divorced,1,2263,1,0,1,0
50,Single,0,65438,0,1,1,0
45,Single,0,94359,0,1,1,0
64,Divorced,0,28540,0,1,0,0
50,Single,0,98871,0,0,0,1
22,Married,1,73726,0,0,0,1
77,Single,0,61769,1,1,0,0
78,Single,0,38843,0,1,0,0
65,Married,0,25690,0,1,1,0
36,Married,1,994,0,0,1,0
21,Married,0,65546,0,0,0,1
52,Married,1,5377,0,1,1,0
66,Single,1,76572,1,0,0,1
34,Married,1,24467,0,0,1,0
61,Married,0,-1952,1,1,0,0
45,Divorced,1,34978,0,1,0,1
47,Married,0,45606,0,1,0,0
46,Married,0,79574,1,0,1,0
63,Divorced,0,96112,0,0,1,0
70,Divorced,1,71414,0,0,0,1
23,Single,1,91145,1,0,1,0
52,Divorced,0,47222,0,0,0,1
77,Single,1,46115,1,1,0,1
58,Divorced,1,87606,1,0,1,1
54,Divorced,1,38647,1,0,0,1
41,Single,0,52607,0,1,0,0
46,Divorced,1,55410,0,1,0,1
66,Single,1,19996,1,1,1,0
63,Divorced,0,52921,0,1,0,1
70,Married,1,81697,1,0,0,1
48,Divorced,0,44022,0,0,0,1
52,Single,1,38148,1,1,0,0
77,Divorced,1,65764,0,0,1,0
50,Single,1,89901,1,1,0,1
69,Single,1,88724,0,0,0,1
78,Married,1,6888,1,0,1,0
38,Married,1,86666,0,0,1,1
49,Single,0,37159,1,1,1,0
40,Divorced,1,40197,0,1,1,0
50,Single,1,82326,0,0,1,1
20,Single,1,88360,1,0,1,0
35,Divorced,0,96941,0,1,0,1
42,Divorced,0,22474,0,1,0,1
59,Divorced,0,15333,0,0,1,0
48,Divorced,1,34355,0,0,0,1
71,Single,1,97415,1,1,1,0
75,Single,0,71903,0,0,0,0
20,Married,0,64258,0,1,1,0
57,Single,0,29145,1,1,1,0
63,Divorced,1,73675,0,0,0,1
41,Married,0,47854,1,0,1,0
67,Divorced,1,65664,0,0,0,1
49,Single,1,84153,1,1,1,0
64,Married,1,91616,0,1,1,0
39,Divorced,0,33285,1,1,0,0
40,Married,1,15533,1,0,1,0
19,Married,0,30624,1,0,0,0
44,Single,0,44996,0,1,0,0
59,Divorced,0,44947,1,1,0,0
19,Married,0,25956,0,0,0,0
43,Married,1,49030,1,1,0,1
34,Divorced,1,56597,1,0,1,0
57,Married,1,40443,1,0,1,0
50,Married,1,96613,0,1,0,1
26,Married,0,63464,0,1,1,0
60,Divorced,0,1952,1,1,0,0
71,Divorced,0,54880,1,1,1,0
65,Divorced,0,50201,1,1,0,0
56,Divorced,1,40460,1,0,1,1
46,Single,0,20796,1,1,0,0
59,Married,1,29746,1,0,1,0
72,Divorced,0,84785,1,1,0,1
43,Married,0,-1985,1,1,0,1
52,Married,0,47757,0,1,1,0
67,Single,0,23957,1,1,0,0
42,Divorced,1,79541,0,1,0,1
41,Divorced,1,19292,1,1,1,0
30,Married,1,29876,0,0,1,0
77,Divorced,1,58727,0,1,0,1
75,Married,0,45046,1,1,0,1
24,Married,0,12817,0,1,0,0
74,Single,1,89006,0,1,0,1
53,Single,1,7759,1,0,1,0
62,Single,0,46432,1,0,0,0
37,Married,0,4412,1,0,0,0
18,Divorced,1,55757,0,0,1,0
25,Single,1,18504,1,0,1,0
63,Divorced,1,6507,0,0,0,1
33,Single,0,19050,1,1,1,0
31,Single,1,2820,1,1,1,0
29,Married,1,5835,0,0,1,0
68,Single,1,91167,0,1,0,1
40,Single,1,98153,0,1,0,1
32,Married,1,11587,1,1,0,1
45,Divorced,0,98257,1,1,1,0
51,Single,1,55732,1,1,0,0
19,Married,0,49921,0,0,0,0
49,Single,1,43499,0,0,0,1
40,Married,1,4840,0,0,1,0
39,Divorced,1,63077,0,0,0,1
68,Divorced,0,29440,1,0,0,0
42,Married,0,33183,0,0,0,1
75,Married,0,94172,0,1,0,1
79,Married,1,389,1,0,1,0
78,Divorced,1,53076,1,1,0,0
39,Single,0,64299,0,1,0,0
75,Divorced,0,87461,0,0,1,0
75,Married,1,90085,0,0,1,0
39,Married,0,37023,0,0,1,0
66,Divorced,1,48029,0,1,1,0
69,Married,0,37941,0,0,1,1
59,Divorced,0,86993,1,0,0,1
23,Married,0,51950,1,0,1,0
32,Single,1,84959,1,1,1,0
71,Single,1,74054,1,0,1,0
60,Married,0,63363,0,0,0,0
77,Divorced,1,59742,0,1,0,1
54,Single,1,95896,0,1,0,1
50,Divorced,1,43215,0,1,1,0
25,Married,1,45857,1,0,0,1
70,Divorced,0,53476,0,0,1,0
77,Single,1,26173,0,1,1,0
61,Divorced,1,7395,0,0,0,1
61,Divorced,0,57768,0,1,0,1
22,Married,1,82743,1,1,0,1
56,Married,1,44229,0,1,1,0
21,Married,1,24639,1,1,0,1
23,Single,0,60583,0,1,0,0
62,Single,0,26924,0,0,0,0
49,Married,1,70969,0,0,0,1
69,Married,1,28104,1,0,0,1
47,Single,0,35594,0,0,1,0
64,Single,0,1664,0,1,1,0
52,Single,0,8528,0,0,0,0
72,Single,1,26190,1,1,1,0
57,Married,1,64033,1,1,1,0
69,Single,0,59161,0,0,1,0
33,Married,1,71177,1,0,0,1
30,Divorced,1,68179,0,1,1,1
67,Divorced,1,68592,0,0,0,1
77,Single,1,30899,1,0,1,0
59,Divorced,1,68979,0,0,0,1
47,Divorced,1,15241,0,0,1,0
36,Divorced,1,44211,1,1,1,0
34,Single,0,61472,1,1,0,0
73,Single,0,72248,1,0,0,0
36,Divorced,0,71757,1,1,1,0
45,Married,0,29346,0,1,0,0
75,Divorced,0,79196,0,0,0,1
72,Single,0,75124,0,0,0,1
43,Single,0,40220,0,1,0,0
54,Single,0,15942,0,1,1,0
43,Divorced,0,47167,0,1,0,1
70,Married,1,34373,0,0,1,0
79,Single,1,65143,0,1,1,0
40,Single,0,16,1,1,0,0
26,Divorced,1,67110,0,0,0,1
29,Married,1,44309,0,1,0,1
70,Divorced,0,5274,0,0,0,0
18,Single,0,13748,0,0,1,0
75,Married,0,18175,0,1,1,0
75,Married,1,9826,1,0,0,0
18,Single,1,81008,1,0,1,0
64,Married,0,32129,1,1,0,0
51,Married,1,68009,0,0,1,0
49,Divorced,1,21490,0,1,1,0
79,Single,1,39435,0,0,1,0
71,Single,0,73017,0,0,0,1
65,Single,1,6520,1,1,0,1
42,Single,1,89951,1,1,1,0
57,Single,1,81106,0,1,0,1
62,Married,1,59877,0,0,0,1
70,Divorced,1,17798,1,1,1,0
18,Single,1,52638,1,0,0,1
33,Divorced,1,67072,1,1,0,0
78,Divorced,0,65309,1,0,1,0
56,Married,0,27894,1,1,1,0
22,Single,1,60963,1,0,1,0
39,Married,0,52567,1,1,1,0
46,Single,1,33326,0,0,0,1
72,Married,1,53059,0,0,0,1
20,Divorced,1,3079,1,0,1,0
29,Single,0,23838,0,0,1,0
43,Divorced,1,85340,1,1,0,1
33,Divorced,1,45109,0,0,0,0
68,Married,0,83211,1,1,0,1
54,Single,0,23594,0,0,1,0
39,Divorced,1,40749,1,1,1,0
74,Married,0,34292,0,0,1,0
46,Single,0,72534,0,0,1,0
31,Single,1,77233,1,1,0,1
45,Divorced,1,49818,1,1,1,0
22,Single,1,11429,1,0,1,0
64,Divorced,0,55748,0,1,0,1
66,Single,0,46807,0,1,1,0
47,Married,0,5140,0,1,0,0
63,Divorced,1,61226,0,0,1,0
79,Divorced,0,12901,1,1,0,0
69,Single,0,86815,1,0,0,1
22,Single,1,26525,0,1,0,0
29,Divorced,1,18491,1,1,1,0
33,Single,1,66816,1,0,1,0
43,Married,0,32980,1,1,1,0
43,Single,1,93525,1,1,1,0
65,Married,0,6078,0,1,1,0
38,Married,0,89654,1,1,1,0
56,Married,1,87521,1,1,0,1
53,Married,1,46704,1,1,1,0
50,Married,1,14997,0,1,1,0
79,Single,1,77810,1,0,0,1
47,Married,1,-1132,0,0,0,1
54,Single,0,24398,0,0,1,0
40,Married,0,79578,1,0,0,1
75,Divorced,0,95356,1,0,1,0
27,Married,1,19246,0,1,0,0
71,Divorced,0,18561,0,0,1,0
22,Married,1,14254,0,0,0,1
53,Married,1,32512,0,1,0,1
51,Married,0,98560,1,0,1,0
69,Divorced,0,87532,0,1,1,0
48,Divorced,1,92154,1,1,0,1
27,Married,0,75395,1,0,0,0
75,Single,1,55865,0,0,0,1
36,Married,0,21580,1,1,0,0
75,Divorced,0,68959,0,1,1,0
49,Married,0,70144,0,0,0,1
18,Divorced,0,40485,0,1,0,0
73,Divorced,0,48621,1,0,1,0
22,Divorced,1,48665,1,0,1,0
62,Married,0,68412,0,0,1,0
21,Divorced,0,48603,1,0,1,0
33,Divorced,0,19038,1,1,1,0
41,Married,1,91542,1,1,1,0
33,Divorced,1,99311,1,0,0,1
72,Married,1,94346,1,0,0,1
19,Divorced,1,12325,0,1,0,1
66,Single,1,33892,1,1,1,0
45,Single,0,-247,1,1,1,0
49,Divorced,0,93067,0,1,0,0
44,Single,0,15996,1,1,0,0
37,Married,1,66811,1,0,1,0
41,Single,1,72283,1,0,1,0
29,Divorced,0,43211,0,0,0,1
67,Divorced,1,60820,1,0,0,1
52,Married,1,-1176,1,1,0,1
77,Divorced,1,11880,0,1,0,1
50,Married,0,64617,0,0,0,1
50,Single,0,9517,1,0,1,0
78,Single,1,19683,0,1,0,1
68,Married,1,14876,0,0,0,0
60,Married,1,54354,0,0,1,0
54,Divorced,1,71802,1,1,0,1
29,Single,0,74719,1,1,1,0
20,Married,1,84602,0,1,1,0
18,Single,0,76413,0,0,0,0
50,Married,0,7982,0,1,0,1
57,Single,0,72504,0,1,1,0
27,Divorced,1,24598,1,0,1,1
60,Single,0,12639,0,1,1,0
61,Single,0,68210,1,0,0,1
46,Single,1,67852,0,0,0,1
30,Single,1,7695,1,0,0,0
29,Single,1,46582,1,0,0,0
48,Divorced,0,29094,0,1,0,0
63,Married,1,58635,1,0,1,0
19,Single,0,20187,1,1,0,0
78,Divorced,0,-786,1,1,0,0
68,Single,1,21940,0,1,1,0
67,Single,0,42406,1,1,0,0
52,Married,0,89221,1,1,0,0
40,Single,0,41481,0,0,0,0
34,Divorced,0,13977,0,1,1,0
43,Divorced,1,42839,1,0,1,0
25,Married,0,55874,1,0,0,0
46,Single,1,56414,0,0,0,1
43,Divorced,0,99440,0,1,0,1
27,Single,0,23538,1,1,1,0
43,Single,1,54241,1,1,1,0
79,Single,0,71501,0,1,0,0
51,Married,0,73133,0,0,0,1
68,Single,0,58481,1,1,0,1
58,Divorced,0,25740,1,1,0,0
24,Single,0,61328,0,0,1,0
21,Divorced,0,70105,1,0,1,0
75,Single,1,48643,1,0,0,0
70,Divorced,1,9881,1,0,1,0
67,Divorced,1,34996,1,0,1,0
62,Single,0,30177,0,0,0,1
28,Single,0,35177,0,0,0,0
46,Divorced,0,64126,1,1,0,1
73,Married,1,54531,1,1,0,1
53,Single,0,24119,1,0,1,0
42,Married,1,25915,1,0,0,1
38,Single,0,708,0,1,0,0
78,Single,0,36749,1,0,0,1
74,Single,0,42989,1,0,0,0
53,Single,1,20106,0,0,1,0
27,Married,0,15131,0,0,0,1
54,Single,1,44553,1,0,0,1
26,Divorced,0,56144,0,1,1,0
